number,aoe2_taunt,arnold_quote,movie,mp3_filename,wem_filename,status,source_url,timestamp,notes
11,Hahahahahah,"Ha! You didn’t know I was gonna say that, did you?",Last Action Hero,arnold_taunt_011.mp3,Play_Taunt_11.wem,captured,https://www.101soundboards.com/sounds/134920-you-didnt-know-im-going-to-say-that-did-you,,Standalone soundboard clip; retain Arnold’s laugh and approved line.
12,"Ack, He Rushed",Men tried to kill me.,Total Recall,arnold_taunt_012.mp3,Play_Taunt_12.wem,captured,https://www.realmofdarkness.net/audio/arnold/totalrecall/triedkill.mp3,,Soundboard clip says “Some men just tried to kill me”; trim “Some” if desired.
13,Sure Blame it on Your ISP,"So basically, you’re lying.",True Lies,arnold_taunt_013.mp3,Play_Taunt_13.wem,captured,https://www.101soundboards.com/sounds/66092561-so-basically-youre-lying-your-ass-off-the-whole-time,,Trim after the approved opening phrase.
14,Start the Game Already,"Come on, Bennett. Let’s party.",Commando,arnold_taunt_014.mp3,Play_Taunt_14.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/common_bennete_it_is_party.mp3,,Exact line despite misspelled source slug.
15,Don’t Point That Thing at Me,"I’ll give you ten minutes to prove it, and then I shoot you.",Last Action Hero,arnold_taunt_015.mp3,Play_Taunt_15.wem,captured,https://www.realmofdarkness.net/audio/arnold/lastactionhero/10mins.mp3,,Authentic standalone Arnold line. Replaces “Don’t shoot me”/“No shoot” which is spoken by Danny rather than Arnold.
16,Enemy Sighted,Someone’s coming.,The Running Man,arnold_taunt_016.mp3,Play_Taunt_16.wem,captured,https://www.101soundboards.com/sounds/75552576-someones-coming,,Exact standalone soundboard clip.
17,It is Good To be the King,I am the hero.,Last Action Hero,arnold_taunt_017.mp3,Play_Taunt_17.wem,captured,https://www.realmofdarkness.net/audio/arnold/lastactionhero/hero.mp3,,Exact standalone soundboard clip.
18,"Monk, I Need a Monk",You have to have faith.,End of Days,arnold_taunt_018.mp3,Play_Taunt_18.wem,captured,https://www.101soundboards.com/sounds/71103936-we-have-to-have-faith,,Actual spoken wording is “We have to have faith.”
19,"Long Time, No Siege",I’m back.,Terminator 3: Rise of the Machines,arnold_taunt_019.mp3,Play_Taunt_19.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/I_am_back.mp3,,Exact line.
20,My Granny Could Scrap Better Than That,You hit like a vegetarian.,Escape Plan,arnold_taunt_020.mp3,Play_Taunt_20.wem,captured,https://www.101soundboards.com/sounds/46897069-you-hit-like-a-vegetarian,,Exact full-film soundboard clip; trim surrounding dialogue during preprocessing if required.
21,"Nice Town, I’ll Take It","Could I speak to the drug dealer of the house, please?",Last Action Hero,arnold_taunt_021.mp3,Play_Taunt_21.wem,captured,https://www.101soundboards.com/sounds/41941-could-i-speak-to-the-drug-dealer-of-the-house-please,,Exact standalone soundboard clip.
22,Quit Touchin Me,Don’t do that.,Terminator 3: Rise of the Machines,arnold_taunt_022.mp3,Play_Taunt_22.wem,captured,https://www.101soundboards.com/sounds/24308-dont-do-that,,Exact soundboard clip.
23,Raiding Party,It’s a beautiful day and we’re out killing drug dealers.,Last Action Hero,arnold_taunt_023.mp3,Play_Taunt_23.wem,captured,https://www.101soundboards.com/sounds/134778-its-a-beautiful-day-and-be-out-killing-drug-dealers-at-the-end-in-the-house,,Trim the trailing question to the approved words.
24,Dadgum,"Jesus, Marge! What the fuck?",End of Days,arnold_taunt_024.mp3,Play_Taunt_24.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/jesus_marge_what_the_fuck.mp3,,Exact line.
25,Ehhh Smite Me,Do it! Come on! Kill me!,Predator,arnold_taunt_025.mp3,Play_Taunt_25.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/predator_common_do_it_now_kill_me.mp3,,Approved words are present; trim to preferred delivery.
26,"The Wonder, The Wonder, The Noooooo",This is going to be very difficult to explain.,Terminator: Dark Fate,arnold_taunt_026.mp3,Play_Taunt_26.wem,captured,https://clip.cafe/terminator-dark-fate-2019/this-will-be-very-hard-to-explain-to-alicia/,,"Ready-made quote clip; exact film wording is: This will be very hard to explain to Alicia. Approved wording was a paraphrase; use the spoken wording."
27,You Played 2 Hours to Die Like This,It is in your nature to destroy yourselves.,Terminator 2: Judgment Day,arnold_taunt_027.mp3,Play_Taunt_27.wem,captured,https://www.101soundboards.com/sounds/10367024-its-in-your-nature-to-destroy-yourselves,,Exact standalone soundboard clip.
28,Yeah Well You Should See the Other Guy,"Yes, fine. No problems.",Red Heat,arnold_taunt_028.mp3,Play_Taunt_28.wem,captured,https://www.realmofdarkness.net/audio/arnold/redheat/yesfine.mp3,,Exact standalone clip from Realm of Darkness Red Heat soundboard.
29,Rogan?,Crom laughs at your four winds.,Conan the Barbarian,arnold_taunt_029.mp3,Play_Taunt_29.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/crom_laughs_at_your_four_winds.mp3,,Exact line.
30,WOLOLO,Come with me if you want to live.,Terminator 2: Judgment Day,arnold_taunt_030.mp3,Play_Taunt_30.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/come_with_me_if_you_want_to_live.mp3,,Exact line.
31,Attack an Enemy Now,It’s showtime!,The Running Man,arnold_taunt_031.mp3,Play_Taunt_31.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/it_is_showtime.mp3,,Exact line.
32,Cease Creating Extra Villagers,STOP IT!,Kindergarten Cop,arnold_taunt_032.mp3,Play_Taunt_32.wem,captured,https://www.realmofdarkness.net/audio/arnold/kc/stopit.mp3,,Exact standalone soundboard clip.
33,Create Extra Villagers,You should clone yourself.,The 6th Day,arnold_taunt_033.mp3,Play_Taunt_33.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/you_should_clone_yourself_why_is_that_so_you_could_go_fuck_yourself.mp3,,Trim after “You should clone yourself.”
34,Build a Navy,I hope Mr. Bane can swim.,Batman & Robin,arnold_taunt_034.mp3,Play_Taunt_34.wem,captured,https://www.101soundboards.com/sounds/13190517-i-hope-mr-bane-can-swim,,Exact standalone soundboard clip.
35,Stop Building a Navy,Abort mission. We return back to base.,The Running Man,arnold_taunt_035.mp3,Play_Taunt_35.wem,captured,https://www.realmofdarkness.net/audio/arnold/runningman/abortmission.mp3,,Exact soundboard clip.
36,Wait for my Signal to Attack,Stay here. I’ll be back.,Terminator 2: Judgment Day,arnold_taunt_036.mp3,Play_Taunt_36.wem,captured,https://www.101soundboards.com/sounds/10379103-stay-here-ill-be-back,,Exact standalone soundboard clip.
37,Build a Wonder,"Of course, I think I’m gonna win.",Pumping Iron,arnold_taunt_037.mp3,Play_Taunt_37.wem,captured,https://www.101soundboards.com/sounds/13550417-of-course-i-think-im-gonna-win,,Authentic Arnold documentary line from a ready-made soundboard clip. Replaces “I want to be number one.” which is not spoken in Pumping Iron.
38,Give Me Your Extra Resources,I need your help.,Eraser,arnold_taunt_038.mp3,Play_Taunt_38.wem,captured,https://www.realmofdarkness.net/audio/arnold/main/helpneed.mp3,,Exact standalone soundboard clip.
39,Ally Sound,Trust me.,Terminator 2: Judgment Day,arnold_taunt_039.mp3,Play_Taunt_39.wem,captured,https://www.realmofdarkness.net/audio/arnold/main/trustme.mp3,,Exact standalone soundboard clip.
40,Enemy Sound,"If it bleeds, we can kill it.",Predator,arnold_taunt_040.mp3,Play_Taunt_40.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/if_it_bleeds_we_can_kill_it.mp3,,Exact line.
41,Neutral Sound,I’m not into politics. I’m into survival.,The Running Man,arnold_taunt_041.mp3,Play_Taunt_41.wem,captured,https://www.101soundboards.com/sounds/23483-my-brother-is-going-to-get-me-out-of-the-city-plus-im-not-into-politics-im-into,,Trim the first sentence; retain the approved politics/survival line.
42,What Age are you in,Old. Not obsolete.,Terminator Genisys,arnold_taunt_042.mp3,Play_Taunt_42.wem,captured,https://clip.cafe/terminator-genisys-2015/im-old/,,"Ready-made quote clip; exact spoken wording is: I'm old. Not obsolete."
43,What is Your Strategy,"Now, this is the plan.",Total Recall,arnold_taunt_043.mp3,Play_Taunt_43.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/this_is_the_plan_get_your_ass_to_mars.mp3,,Trim after “This is the plan.”
44,How Many Resources do you Have,How much is that?,Jingle All the Way,arnold_taunt_044.mp3,Play_Taunt_44.wem,captured,https://www.101soundboards.com/sounds/75099275-how-much,,Actual Jingle All the Way wording is “How much?”
45,Retreat Now,Get to the chopper!,Predator,arnold_taunt_045.mp3,Play_Taunt_45.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/get_to_the_choppa.mp3,,Exact line.
46,Flare the Location of Your Army,Where is this?,Eraser,arnold_taunt_046.mp3,Play_Taunt_46.wem,captured,https://www.realmofdarkness.net/audio/arnold/main/whereisthis.mp3,,Exact standalone soundboard clip.
47,Attack in the Direction of the Flared Location,Follow him.,Commando,arnold_taunt_047.mp3,Play_Taunt_47.wem,captured,https://www.101soundboards.com/sounds/125364-and-i-need-you-to-do-is-follow-him-tell-him-you-crazy-about-him-try-to-bring-him-over-here,,Trim the longer soundboard sentence down to “Follow him.”
48,"I’m Being Attacked, Please Help","I’m counting on you, buddy.",Total Recall,arnold_taunt_048.mp3,Play_Taunt_48.wem,captured,https://www.101soundboards.com/sounds/66011362-im-counting-on-you-buddy,,Exact standalone soundboard clip.
49,Build a Forward Base at the Flared Location,Pull over here.,True Lies,arnold_taunt_049.mp3,Play_Taunt_49.wem,captured,https://www.101soundboards.com/sounds/14192918-pull-over-here-this-is-good,,Trim the trailing “This is good.”
50,Build a Fortification at the Flared Location,I want a defensive position.,Predator,arnold_taunt_050.mp3,Play_Taunt_50.wem,captured,https://www.101soundboards.com/sounds/65948197-i-want-a-defensive-position-above-that-ridge,,Trim after “position” to match the approved excerpt.
51,Keep Your Army Close to Mine and Fight With Me,"As long as I’m with you, I’m in no danger.",Twins,arnold_taunt_051.mp3,Play_Taunt_51.wem,captured,https://www.101soundboards.com/sounds/13723065-as-long-as-lm-with-you-i-wont-let-anyone-harm-you-okay,,"Exact film audio says: As long as I'm with you, I won't let anyone harm you, okay? Approved wording was a paraphrase; use the spoken wording."
52,Build a Market at the Flared Location,We’re all businessmen.,Jingle All the Way,arnold_taunt_052.mp3,Play_Taunt_52.wem,captured,https://www.realmofdarkness.net/audio/arnold/jingle/busi.mp3,,Trim after the approved opening sentence if needed.
53,Rebuild Your Base at the Flared Location,I want my life back.,The 6th Day,arnold_taunt_053.mp3,Play_Taunt_53.wem,captured,https://www.101soundboards.com/sounds/46892140-i-want-my-life-back,,Exact full-film soundboard clip.
54,Build a Wall Between the two Flared Locations,I can’t self-terminate. You must lower me into the steel.,Terminator 2: Judgment Day,arnold_taunt_054.mp3,Play_Taunt_54.wem,captured,https://www.101soundboards.com/sounds/10377746-i-cant-self-terminate-you-must-lower-me-into-the-steel,,Authentic Arnold film line from a ready-made soundboard clip. Replaces the non-film paraphrase “You go. I cannot.”
55,Build a Wall Around Your Town,"We make a stand now, or there will be nobody left to go to the chopper.",Predator,arnold_taunt_055.mp3,Play_Taunt_55.wem,captured,https://www.101soundboards.com/sounds/65947113-we-make-a-stand-now-or-there-will-be-nobody-left-to-go-to-the-chopper,,Authentic Arnold film line from a ready-made soundboard clip. Replaces “Set up a perimeter.” which is not spoken by Arnold in Predator.
56,Train Units Which Counter the Enemy’s Army,"Take two of these, and call me in the morning.",Batman & Robin,arnold_taunt_056.mp3,Play_Taunt_56.wem,captured,https://www.101soundboards.com/boards/115737-batman-robin-1997,,Combined two adjacent soundboard snippets into the approved line.
57,Stop Training Counter Units,Enough talk.,Conan the Destroyer,arnold_taunt_057.mp3,Play_Taunt_57.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/enough_talk.mp3,,Exact line; soundboard labels film imprecisely.
58,Prepare to Send me all Your Resources so I can Vanquish Our Foes,"I need your clothes, your boots, and your motorcycle.",Terminator 2: Judgment Day,arnold_taunt_058.mp3,Play_Taunt_58.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/need_your_cloth_your_boots_your_motocycle.mp3,,Exact line.
59,Stop Sending me Extra Resources,One more thing: I work alone.,Eraser,arnold_taunt_059.mp3,Play_Taunt_59.wem,captured,https://www.realmofdarkness.net/audio/arnold/main/workalone.mp3,,Exact standalone soundboard clip.
60,"Prepare to Train a Large Army, I’ll Send You as Many Resources as I can Spare",They need a leader. They need someone with experience.,The Running Man,arnold_taunt_060.mp3,Play_Taunt_60.wem,captured,https://www.realmofdarkness.net/audio/arnold/runningman/kids-2.mp3,,Exact soundboard clip.
61,Attack Player 1,I’ll be back.,The Terminator,arnold_taunt_061.mp3,Play_Taunt_61.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/I_will_be_back_2.mp3,,Exact line.
62,Attack Player 2,Consider that a divorce.,Total Recall,arnold_taunt_062.mp3,Play_Taunt_62.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/sweethearth_we_are_married_consider_it_as_a_divorce.mp3,,Trim the setup and retain “Consider that a divorce.”
63,Attack Player 3,"Let off some steam, Bennett.",Commando,arnold_taunt_063.mp3,Play_Taunt_63.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/commando_let_of_some_steam_bennett.mp3,,Exact line.
64,Attack Player 4,"Tonight, hell freezes over!",Batman & Robin,arnold_taunt_064.mp3,Play_Taunt_64.wem,captured,https://www.101soundboards.com/sounds/46287479-tonight-hell-freezes-over,,Exact soundboard clip.
65,Attack Player 5,You’re fired.,True Lies,arnold_taunt_065.mp3,Play_Taunt_65.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/you_are_fired.mp3,,Exact line.
66,Attack Player 6,It’s not a tumor!,Kindergarten Cop,arnold_taunt_066.mp3,Play_Taunt_66.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/it_might_be_a_tumor_it_is_not_a_tumor_at_all.mp3,,Trim to “It’s not a tumor!”
67,Attack Player 7,Put that cookie down! Now!,Jingle All the Way,arnold_taunt_067.mp3,Play_Taunt_67.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/put_that_cookie_down.mp3,,Verify that the file includes the final “Now!” before review.
68,Attack Player 8,"Here is Subzero. Now, plain zero.",The Running Man,arnold_taunt_068.mp3,Play_Taunt_68.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/here_is_subzero_now_plain_zero.mp3,,Exact line.
69,Delete the Object on the Flared Location,It must be destroyed.,Terminator 2: Judgment Day,arnold_taunt_069.mp3,Play_Taunt_69.wem,captured,https://www.terminatorfiles.com/media/audio/t2/it-must-be-destroyed.mp3,,Clean standalone MP3 from Terminator Files soundboard.
70,Delete Your Excess Villagers,I let him go.,Commando,arnold_taunt_070.mp3,Play_Taunt_70.wem,captured,https://www.101soundboards.com/sounds/65916971-i-let-him-go,,Exact standalone soundboard clip.
71,Delete Excess Warships,He won’t be needing it.,Commando,arnold_taunt_071.mp3,Play_Taunt_71.wem,captured,https://www.101soundboards.com/sounds/65917484-he-wont-be-needing-it,,Exact standalone soundboard clip.
72,Focus on Training Infantry Units,"See you at the party, Richter!",Total Recall,arnold_taunt_072.mp3,Play_Taunt_72.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/see_you_at_the_party_richter.mp3,,Exact line.
73,Focus on Training Cavalry Units,Stick around.,Predator,arnold_taunt_073.mp3,Play_Taunt_73.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/stick_around.mp3,,Exact line.
74,Focus on Training Ranged Units,Don’t disturb my friend. He’s dead tired.,Commando,arnold_taunt_074.mp3,Play_Taunt_74.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/excuse_me_dont_disturbe_my_friend_he_is_dead_tired.mp3,,Trim the optional opening “Excuse me.”
75,Focus on Training Warships,To be or not to be? Not to be.,Last Action Hero,arnold_taunt_075.mp3,Play_Taunt_75.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/to_be_or_not_to_be_not_to_be.mp3,,Exact line.
76,Attack the Enemy With Militia,You want to be a farmer? Here’s a couple of acres.,Last Action Hero,arnold_taunt_076.mp3,Play_Taunt_76.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/hey_want_to_be_a_farmer_here_is_a_couple_of_acres.mp3,,Approved line is present.
77,Attack the Enemy With Archers,You’re luggage.,Eraser,arnold_taunt_077.mp3,Play_Taunt_77.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/you_luggage.mp3,,Exact Arnold delivery; source transcript omits “are.”
78,Attack the Enemy With Skirmishers,"Who is your daddy, and what does he do?",Kindergarten Cop,arnold_taunt_078.mp3,Play_Taunt_78.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/we_are_going_to_play_a_wonderfull_game_who_is_your_daddy_and_what_does_he_do.mp3,,Trim the introductory sentence.
79,Attack the Enemy With a mix of Archers and Skirmishers,Stop whining!,Kindergarten Cop,arnold_taunt_079.mp3,Play_Taunt_79.wem,captured,https://www.realmofdarkness.net/audio/arnold/kc/stopwhining.mp3,,Exact standalone soundboard clip.
80,Attack the Enemy With Scout Cavalry,"Everybody, chill!",Batman & Robin,arnold_taunt_080.mp3,Play_Taunt_80.wem,captured,https://www.101soundboards.com/sounds/17633343-all-right-everyone-chill,,"Clean standalone clip; exact spoken wording is: All right, everyone! Chill."
81,Attack the Enemy With Men-At-Arms,Allow me to break the ice.,Batman & Robin,arnold_taunt_081.mp3,Play_Taunt_81.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/allow_me_to_break_the_ice.mp3,,Exact line.
82,Attack the Enemy With Eagle Scouts,What killed the dinosaurs? The Ice Age!,Batman & Robin,arnold_taunt_082.mp3,Play_Taunt_82.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/what_killed_the_dinosaurs_the_ice_age.mp3,,Exact line.
83,Attack the Enemy With Towers,He had to split.,The Running Man,arnold_taunt_083.mp3,Play_Taunt_83.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/what_happened_to_buzzsaw_he_had_to_split.mp3,,Retain the setup if it improves the punchline; otherwise trim to approved words.
84,Attack the Enemy With Crossbowmen,What a hothead.,The Running Man,arnold_taunt_084.mp3,Play_Taunt_84.wem,captured,https://www.101soundboards.com/sounds/65944606-what-a-hothead,,Exact standalone soundboard clip.
85,Attack the Enemy With Cavalry Archers,Crom!,Conan the Barbarian,arnold_taunt_085.mp3,Play_Taunt_85.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/crom.mp3,,Exact shout.
86,Attack the Enemy With Unique Units,Get your ass to Mars.,Total Recall,arnold_taunt_086.mp3,Play_Taunt_86.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/this_is_the_plan_get_your_ass_to_mars.mp3,,Trim the setup and retain “Get your ass to Mars.”
87,Attack the Enemy With Knights,Give these people air!,Total Recall,arnold_taunt_087.mp3,Play_Taunt_87.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/total_recall_come_on_cohaagen_give_these_people_air.mp3,,Trim the Cohaagen address if desired.
88,Attack the Enemy With Battle Elephants,You think this is the real Quaid? It is!,Total Recall,arnold_taunt_088.mp3,Play_Taunt_88.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/ou_think_this_is_the_real_Quaid_it_is.mp3,,Exact line despite misspelled source slug.
89,Attack the Enemy With Scorpions,No problemo.,Terminator 2: Judgment Day,arnold_taunt_089.mp3,Play_Taunt_89.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/no_problemo.mp3,,Exact line.
90,Attack the Enemy With Monks,I need a vacation.,Terminator 2: Judgment Day,arnold_taunt_090.mp3,Play_Taunt_90.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/I_need_a_vacation.mp3,,Exact line.
91,Attack the Enemy With Monks and Mangonels,"Chill out, dickwad.",Terminator 2: Judgment Day,arnold_taunt_091.mp3,Play_Taunt_91.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/chillout_dickward.mp3,,Exact line despite misspelled source slug.
92,Attack the Enemy With Eagle Warriors,Dillon! You son of a bitch!,Predator,arnold_taunt_092.mp3,Play_Taunt_92.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/dilone_you_son_of_a_bitch.mp3,,Exact line despite misspelled source slug.
93,Attack the Enemy With Halberdiers and Rams,CIA got you pushing too many pencils?,Predator,arnold_taunt_093.mp3,Play_Taunt_93.wem,captured,https://www.realmofdarkness.net/audio/arnold/predator/whatsmatter-2.mp3,,Exact soundboard clip.
94,Attack the Enemy With Elite Eagle Warriors,Remember when I promised to kill you last? I lied.,Commando,arnold_taunt_094.mp3,Play_Taunt_94.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/remember_sally_when_I_promised_to_kill_you_last_you_did_I_lied.mp3,,Approved exchange is present; retain or trim Sully’s reply during review.
95,Attack the Enemy With Arbalests,I eat Green Berets for breakfast.,Commando,arnold_taunt_095.mp3,Play_Taunt_95.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/I_eat_green_berets_for_breakfast_and_right_now_I_am_verry_hungry.mp3,,Trim after the approved sentence if desired.
96,Attack the Enemy With Champions,"Knock, knock.",Commando,arnold_taunt_096.mp3,Play_Taunt_96.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/knock_knock.mp3,,Exact line.
97,Attack the Enemy With Galleys,"Fuck you, asshole.",Commando,arnold_taunt_097.mp3,Play_Taunt_97.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/fuck_you_asshole_fuck_you_asshole.mp3,,Commando exchange; isolate Arnold’s second delivery.
98,Attack the Enemy With Fire Galleys,Rubber baby buggy bumpers!,Last Action Hero,arnold_taunt_098.mp3,Play_Taunt_98.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/Rubber_baby_buggie_bumpers.mp3,,Exact line despite misspelled source slug.
99,Attack the Enemy With Demolition Rafts,AAAAAAARGH!,Total Recall,arnold_taunt_099.mp3,Play_Taunt_99.wem,captured,https://www.realmofdarkness.net/audio/arnold/totalrecall/arrrrghhhh.mp3,,Martian decompression scream from soundboard.
100,Attack the Enemy With War Galleys,"Milk is for babies. When you grow up, you drink beer.",Pumping Iron,arnold_taunt_100.mp3,Play_Taunt_100.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/milk_is_for_babies_when_you_grow_up_you_have_to_drink_beer.mp3,,Exact line.
101,Attack the Enemy With Fire Ships,Money talks and bullshit walks.,Twins,arnold_taunt_101.mp3,Play_Taunt_101.wem,captured,https://www.realmofdarkness.net/audio/arnold/twins/bswalk.mp3,,Exact standalone soundboard clip.
102,Attack the Enemy With Unique Warships,Cocainum!,Red Heat,arnold_taunt_102.mp3,Play_Taunt_102.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/cocainum.mp3,,Exact line.
103,Use an Onager to cut Down Trees at the Flared Location,AAAAAAARGH!,Predator,arnold_taunt_103.mp3,Play_Taunt_103.wem,captured,https://www.realmofdarkness.net/audio/arnold/predator/scream-predator.mp3,,Full-volume jungle battle roar; select the strongest short section during normalization.
104,Don’t Resign,You just gotta keep coming back stronger.,Pumping Iron,arnold_taunt_104.mp3,Play_Taunt_104.wem,captured,https://www.101soundboards.com/sounds/13378841-you-just-gotta-keep-coming-back-stronger,,Exact standalone soundboard clip.
105,You can Resign Now,"Hasta la vista, baby.",Terminator 2: Judgment Day,arnold_taunt_105.mp3,Play_Taunt_105.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/terminator_2_hasta_la_vista_baby.mp3,,Exact line.
